College,Year,Other/Unknown Applied,International Applied,White Applied,Asian/Pacific Islander Applied,American Indian Applied,African American Applied,Hispanic/Latinx Applied,Other/Unknown Admitted,International Admitted,White Admitted,Asian/Pacific Islander Admitted,American Indian Admitted,African American Admitted,Hispanic/Latinx Admitted,Unknown/Missing Admitted,4.20 and Above Applied,3.80 - 4.19 Applied,3.40 - 3.79 Applied,3.00 - 3.39 Applied,0.00 - 2.99 Applied,Unknown/ Missing Admitted,4.20 and Above Admitted,3.80 - 4.19 Admitted,3.40 - 3.79 Admitted,3.00 - 3.39 Admitted,0.00 - 2.99 Admitted,Male Applied,Female Applied,Male Admitted,Female Admitted
UCSC,2019,1390,7762,12181,15279,237,2598,16418,764,5647,7424,8206,132,948,5507,2160,6799,19073,15901,8917,3015,1556,5799,13661,6339,1171,102,24759,30768,12668,15804
UCSC,2018,1622,7027,12468,15242,285,2683,17298,900,5209,6938,7992,152,964,4648,2114,5916,18283,16546,10099,3667,1592,5423,12866,5527,1259,136,24673,31520,11867,14749
UCSC,2017,1363,6558,12061,13548,307,2562,16570,775,4778,7418,7814,169,1024,5005,2479,4805,16089,15968,10025,3603,1801,4453,12182,7001,1430,116,23124,29510,11958,14870
UCSC,2016,1332,5623,11941,12715,292,2399,14878,897,3591,8507,8437,198,997,5824,2057,4244,14473,15229,9633,3544,1272,4008,12311,9047,1748,65,21738,27282,12472,15904
UCSC,2015,1351,4597,11350,12069,309,2144,13712,757,3149,6859,6632,189,670,4641,1836,3510,12754,14261,9547,3624,1243,3339,10556,6667,974,118,20009,25434,9824,13042
UCSC,2014,1078,3681,10588,11144,299,1956,11981,673,2444,6881,6387,179,781,5350,1483,2862,11316,12956,8847,3263,963,2782,10086,6887,1721,256,18124,22535,9795,12873
UCSC,2013,1103,2498,10787,10651,264,1884,11449,683,1485,6492,5731,121,705,4612,1160,2565,10199,12430,8865,3417,707,2503,9048,5908,1505,158,16921,21653,8347,11464
UCSC,2012,884,1514,10432,9437,273,1574,9023,572,604,6752,5806,166,726,5225,631,1953,8834,10954,7735,3030,179,1920,8285,7280,2111,76,14649,18478,8049,11796
UCSC,2011,710,757,9823,8056,239,1325,7320,508,377,7219,5548,160,606,4578,406,1445,7606,9736,6563,2474,186,1406,7312,7878,2124,90,12451,15774,8079,10916
UCSC,2010,1600,611,10135,7867,286,1152,5994,1071,267,6978,5174,178,473,3502,267,1484,7294,9569,6628,2403,108,1453,6972,7193,1839,78,12364,15268,7642,9997
UCSC,2009,1641,540,11079,7264,216,1015,5492,1205,230,7450,4604,151,420,3256,272,1438,7182,9138,6643,2574,102,1386,6830,6834,2000,164,11942,15301,7234,10081
UCSC,2008,1924,544,11569,7358,185,1022,5231,1468,225,8740,5248,121,547,3606,357,1530,7035,9412,6815,2684,123,1488,6742,8033,3273,296,12399,15431,8530,11425
UCSC,2007,1619,441,10521,6735,166,796,4184,1340,250,8881,5442,119,517,3297,324,1379,6296,8199,6039,2225,147,1338,6161,7666,4165,369,10912,13545,8588,11255
UCSC,2006,1773,407,10452,6997,175,764,3974,1442,219,8618,5607,129,468,3029,297,1386,6508,8201,5768,2382,116,1328,6236,7557,3994,281,10906,13631,8370,11141
UCSC,2005,1724,327,10147,6438,169,676,3546,1359,175,7908,4767,108,355,2431,353,1355,5991,7610,5447,2271,140,1268,5583,6620,3174,318,10061,12960,7087,10014
UCSC,2004,2348,351,10710,6588,178,871,4004,1609,138,7312,4114,100,357,2408,451,1289,6044,8551,6264,2451,125,1221,5659,6361,2467,205,10826,14213,6656,9378
UCSC,2003,2333,212,9277,5552,148,763,3515,1866,75,7974,4206,113,432,2544,275,1066,5015,6871,5789,2784,124,1041,4861,6432,4268,484,9631,12149,7429,9776
UCSC,2002,2282,256,10901,6221,182,858,3609,1916,98,9642,4943,154,559,2772,381,1127,5601,8086,6374,2740,194,1110,5435,7665,5126,554,10431,13865,8404,11675
UCSC,2001,2278,398,9993,5523,172,780,3360,1964,187,8783,4454,139,506,2661,410,1195,5338,7750,5345,2466,199,1165,5234,7436,4188,472,9543,12947,7769,10919
UCSC,2000,2106,203,8740,4842,154,619,2678,1774,78,7631,3904,126,430,2140,279,941,4555,6834,4795,1938,156,932,4478,6591,3679,247,8396,10932,6722,9357
UCSB,2019,2435,17078,21185,25895,375,4148,22330,880,5866,6220,8378,132,897,5253,5661,16892,36504,21955,9547,2887,2146,12391,11583,1374,111,21,41459,51551,11585,15911
UCSB,2018,2671,16051,21340,24846,447,4168,22783,1043,5472,7409,9014,172,997,5617,5467,14575,34990,22871,10843,3560,1934,11609,14192,1839,121,29,41037,50738,12218,17338
UCSB,2017,2234,14541,20075,20636,448,3658,20232,922,4503,7108,7974,190,1049,5099,6114,11455,29161,21212,10446,3436,1993,9393,13142,2150,148,19,36925,44490,10907,15823
UCSB,2016,2198,13267,19239,19503,426,3559,18915,956,4194,7909,8418,177,927,5000,5303,9778,26654,21207,10615,3550,1769,8302,14298,3012,168,32,35744,41363,11384,16197
UCSB,2015,2062,10913,18023,18298,462,3360,17418,840,2724,6710,7273,183,771,4525,4675,8078,23534,19763,10712,3774,1654,7072,11535,2561,166,38,32870,37662,9858,13168
UCSB,2014,1690,9312,18127,17467,454,3109,16657,766,2833,7454,7416,188,790,4837,3830,7327,22086,19424,10639,3510,1272,6672,12873,3217,218,32,30813,36003,10397,13887
UCSB,2013,1762,6696,17955,16240,384,3065,16323,886,2304,8468,7355,175,841,4783,2945,6390,19652,18725,10856,3857,1141,6119,13386,3877,247,42,28499,33926,11257,13555
UCSB,2012,1521,4121,17079,15146,400,3012,13979,767,2164,8559,7358,200,846,4662,1545,5101,17995,17025,9923,3669,773,4899,13384,5044,394,62,24894,30349,10847,13706
UCSB,2011,1218,1999,17062,13676,393,2579,12737,634,1123,8808,6734,196,780,4723,891,5132,16574,15494,8616,2957,434,4991,12416,4636,459,62,22104,27540,10070,12925
UCSB,2010,2558,1403,16448,12760,418,2360,10780,1244,579,8380,5962,186,657,4241,493,4689,15404,14868,8418,2855,222,4556,12051,4073,305,42,20711,26005,9211,12034
UCSB,2009,2276,1177,17241,11854,332,2182,9674,1168,492,8741,5891,168,711,4368,503,3946,14230,14533,8451,3073,206,3820,11378,5233,829,73,19611,25118,9142,12397
UCSB,2008,3059,1101,18573,12357,287,2188,9511,1671,401,9530,6210,126,762,4486,597,4745,14519,15071,8989,3155,193,4639,11992,5454,847,61,20533,26537,9760,13425
UCSB,2007,2569,822,17198,11223,291,1353,7481,1501,339,9904,5980,149,557,3841,497,3876,12882,13133,7954,2595,203,3773,11269,5924,1049,53,17955,22975,9497,12772
UCSB,2006,2637,725,16848,11210,275,1311,6851,1525,302,9385,5831,152,489,3598,469,3697,12625,12968,7449,2649,192,3555,10643,5698,1096,98,17195,22659,8835,12446
UCSB,2005,2576,664,16381,10322,232,1233,6114,1440,262,9015,5336,116,486,3166,556,3535,12006,11871,6994,2560,216,3407,10188,4995,929,86,16308,21199,8213,11605
UCSB,2004,3384,573,15810,9774,242,1248,5943,1860,239,8794,4989,108,458,3140,607,3187,11410,11943,7143,2684,177,3087,9890,5365,970,99,16032,20933,7977,11608
UCSB,2003,3739,431,16333,9575,238,1268,6000,1905,161,8652,4627,119,469,2842,418,2886,11007,12126,7914,3233,174,2720,8776,5611,1364,130,16368,21199,7749,11024
UCSB,2002,3242,668,15246,8615,228,1105,4919,1509,152,8340,4552,123,460,2560,487,2718,10116,11039,7274,3060,204,2580,8167,5385,1230,130,14883,19800,7292,10401
UCSB,2001,3242,668,15246,8615,228,1105,4919,1726,215,7898,4236,114,442,2387,573,2571,9649,10948,7240,3042,224,2472,8014,5060,1135,113,14711,19299,7170,9848
UCSB,2000,3010,472,14625,7766,213,949,4194,1488,146,7098,3533,96,362,1960,421,2533,8577,10061,6975,2662,157,2424,6794,4250,987,71,13752,17461,6282,8399
UCSD,2019,2555,19858,19210,31299,349,4554,21299,1033,5659,6677,11169,112,994,5556,6817,20329,38963,21228,8826,2961,2216,14359,12719,1816,68,22,45338,53784,14326,16874
UCSD,2018,2859,19749,19098,30638,412,4327,20815,1021,5687,6345,10294,108,784,5189,7053,18559,37612,21789,9573,3312,1972,12985,12886,1494,73,18,44685,53213,13337,16091
UCSD,2017,2368,17912,18033,26960,382,3989,18804,1030,5759,6650,10758,127,782,4955,7406,15776,32771,20087,9261,3147,2515,13290,12692,1456,81,27,40784,47664,13607,16454
UCSD,2016,2399,17346,17599,25710,375,3672,17105,1081,5623,6737,10766,120,758,4943,6814,14281,30912,20003,9046,3150,2348,12378,13458,1691,130,23,39418,44788,13735,16293
UCSD,2015,2298,14697,16634,25123,385,3363,15561,978,5697,6036,9678,108,543,3295,6209,13069,28059,18945,8799,2980,2586,11526,10866,1226,105,26,36844,41217,12570,13765
UCSD,2014,1841,12807,16348,24474,425,2986,14567,774,5012,5480,9119,102,463,3499,5207,11997,26549,18279,8621,2795,2208,10573,10268,1283,93,24,34490,38958,11608,12841
UCSD,2013,1949,9855,15607,22953,357,2964,13706,859,4123,6397,9354,121,551,3257,4101,10623,23791,17414,8405,3057,1746,9917,11128,1741,110,20,31875,35516,11701,12961
UCSD,2012,1547,6782,14429,22659,374,2768,12273,698,3536,5794,9339,119,493,2833,2371,9091,22009,16342,7999,3020,1209,8382,10627,2276,238,80,28725,32107,10815,11997
UCSD,2011,1231,3788,14297,20970,322,2158,10683,456,2094,5004,7804,80,392,3064,1390,8253,19884,14709,6934,2279,693,7327,8769,1886,165,54,25071,28378,8655,10239
UCSD,2010,2478,2660,13262,19235,321,1937,8205,1019,1235,4759,8228,106,374,2500,796,7469,18219,13469,6098,2047,309,6727,9261,1794,97,33,22296,25802,8284,9937
UCSD,2009,2395,2299,13886,18834,255,1617,7774,1022,662,4822,7839,60,311,2326,750,7360,17793,13012,6136,2009,196,6515,8646,1517,153,15,21714,25346,7522,9520
